2015/01/07 10:19:16 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: Loading user properties from: /usr/local/Cellar/jmeter/2.11/libexec/bin/user.properties 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: Loading system properties from: /usr/local/Cellar/jmeter/2.11/libexec/bin/system.properties 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: Version 2.11 r1554548 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: java.version=1.6.0_65 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: os.name=Mac OS X 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: os.arch=x86_64 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: os.version=10.9.5 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: file.encoding=MacRoman 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: JMeterHome=/usr/local/Cellar/jmeter/2.11/libexec 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: user.dir  =/Users/tokopedia/Documents/Tokopedia-ios 
2015/01/07 10:19:17 INFO  - jmeter.JMeter: PWD       =/Users/tokopedia/Documents/Tokopedia-ios 
2015/01/07 10:19:21 INFO  - jmeter.JMeter: IP: 192.168.10.120 Name: Disewakan-WiFi-Lancar-Jaya-Hubungi-Tonito.local FullName: 192.168.10.120 
2015/01/07 10:19:21 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/01/07 10:19:28 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/01/07 10:19:28 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/01/07 10:19:29 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2015/01/07 10:19:30 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/01/07 10:19:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
